temp,ts
73.51,1341566843674
73.51,1341566849457
73.62,1341566855241
73.51,1341566861024
73.51,1341566866807
73.51,1341566872587
73.51,1341566878370
73.51,1341566884153
73.51,1341566889937
73.51,1341566895720
73.51,1341566901503
73.51,1341566907282
73.51,1341566913066
73.51,1341566918849
73.51,1341566924632
73.40,1341566930416
73.40,1341566936199
73.40,1341566941978
73.40,1341566947761
73.40,1341566953545
73.40,1341566959328
73.29,1341566965112
73.29,1341566970895
73.29,1341566976674
73.29,1341566982457
73.29,1341566988241
73.29,1341566994024
73.29,1341566999807
73.18,1341567005591
73.18,1341567011374
73.18,1341567017153
73.18,1341567022936
73.18,1341567028720
73.18,1341567034503
73.06,1341567040286
73.06,1341567046070
73.06,1341567051849
73.06,1341567057632
73.06,1341567063416
73.06,1341567069199
73.06,1341567074982
73.06,1341567080766
72.95,1341567086545
72.95,1341567092328
72.95,1341567098112
72.95,1341567103895
72.95,1341567109678
72.95,1341567115461
72.95,1341567121241
72.95,1341567127024
72.95,1341567132807
72.95,1341567138591
72.95,1341567144374
72.95,1341567150157
72.95,1341567155936
73.06,1341567161720
73.06,1341567167503
73.06,1341567173286
73.06,1341567179070
73.06,1341567184853
73.06,1341567190632
73.06,1341567196416
73.06,1341567202199
73.18,1341567207982
73.18,1341567213765
73.18,1341567219549
73.18,1341567225328
73.18,1341567231111
73.29,1341567236895
73.29,1341567242678
73.29,1341567248461
73.29,1341567254245
73.29,1341567260024
73.29,1341567265807
73.40,1341567271590
73.40,1341567277374
73.40,1341567283157
73.51,1341567288940
73.40,1341567294720
73.51,1341567300503
73.51,1341567306286
73.51,1341567312070
73.51,1341567317853
73.51,1341567323636
73.51,1341567329415
73.62,1341567335199
73.51,1341567340982
73.62,1341567346765
73.51,1341567352549
73.51,1341567358332
73.62,1341567364111
73.62,1341567369895
73.62,1341567375678
73.62,1341567381461
73.51,1341567387245
73.62,1341567393028
73.51,1341567398807
73.51,1341567404590
73.62,1341567410374
73.51,1341567416157
73.51,1341567421940
73.51,1341567427724
73.40,1341567433507
73.51,1341567439286
73.40,1341567445070
73.51,1341567450853
73.40,1341567456636
73.40,1341567462420
73.40,1341567468203
73.40,1341567473982
73.40,1341567479765
73.40,1341567485549
73.29,1341567491332
73.29,1341567497115
73.29,1341567502898
73.29,1341567508678
73.18,1341567514461
73.18,1341567520245
73.18,1341567526028
73.18,1341567531811
73.18,1341567537594
73.18,1341567543374
73.18,1341567549157
73.29,1341567554940
73.29,1341567560724
73.29,1341567566507
73.29,1341567572290
73.40,1341567578069
73.40,1341567583853
73.40,1341567589636
73.51,1341567595419
73.51,1341567601203
73.62,1341567606986
73.62,1341567612765
73.62,1341567618549
73.62,1341567624332
73.62,1341567630115
73.74,1341567635899
73.74,1341567641682
73.74,1341567647461
73.74,1341567653244
73.85,1341567659028
73.85,1341567664811
73.85,1341567670594
73.85,1341567676378
73.85,1341567682157
73.85,1341567687940
73.85,1341567693723
73.96,1341567699507
73.85,1341567705290
73.85,1341567711073
73.96,1341567716853
73.96,1341567722636
73.96,1341567728419
73.96,1341567734203
73.96,1341567739986
73.96,1341567745769
73.96,1341567751549
73.96,1341567757332
73.96,1341567763115
73.96,1341567768899
73.96,1341567774682
73.96,1341567780465
73.96,1341567786244
73.96,1341567792028
73.96,1341567797811
73.96,1341567803594
73.96,1341567809377
73.96,1341567815161
73.96,1341567820940
73.96,1341567826723
73.85,1341567832507
73.85,1341567838290
73.85,1341567844073
73.85,1341567849857
73.85,1341567855636
73.85,1341567861419
73.74,1341567867203
73.85,1341567872986
73.74,1341567878769
73.74,1341567884553
73.74,1341567890332
73.74,1341567896115
73.74,1341567901898
73.74,1341567907682
73.62,1341567913465
73.62,1341567919248
73.51,1341567925027
73.51,1341567930811
73.51,1341567936594
73.51,1341567942378
73.51,1341567948161
73.40,1341567953944
73.51,1341567959723
73.40,1341567965507
73.51,1341567971290
73.51,1341567977073
73.51,1341567982857
73.51,1341567988640
73.51,1341567994419
73.51,1341568000203
73.51,1341568005986
73.62,1341568011769
73.62,1341568017553
73.62,1341568023336
73.62,1341568029119
73.62,1341568034898
73.74,1341568040682
73.62,1341568046465
73.62,1341568052248
73.62,1341568058032
73.74,1341568063811
73.74,1341568069594
73.74,1341568075377
73.74,1341568081161
73.85,1341568086944
73.74,1341568092727
73.85,1341568098507
73.85,1341568104290
73.85,1341568110073
73.85,1341568115857
73.85,1341568121640
73.85,1341568127423
73.85,1341568133202
73.85,1341568138986
73.85,1341568144769
73.85,1341568150552
73.85,1341568156336
73.96,1341568162119
73.96,1341568167898
73.96,1341568173682
73.96,1341568179465
73.96,1341568185248
73.85,1341568191031
73.85,1341568196815
73.85,1341568202594
73.85,1341568208377
73.85,1341568214161
73.85,1341568219944
73.85,1341568225727
73.74,1341568231511
73.85,1341568237290
73.85,1341568243073
73.74,1341568248856
73.74,1341568254640
73.74,1341568260423
73.74,1341568266206
73.74,1341568271986
73.74,1341568277769
73.74,1341568283552
73.74,1341568289336
73.74,1341568295119
73.74,1341568300902
73.74,1341568306681
73.74,1341568312465
73.62,1341568318248
73.62,1341568324031
73.62,1341568329815
73.62,1341568335598
73.62,1341568341377
73.62,1341568347161
73.62,1341568352944
73.62,1341568358727
73.62,1341568364511
73.51,1341568370294
73.51,1341568376073
73.51,1341568381857
73.51,1341568387640
73.51,1341568393423
73.62,1341568399206
73.62,1341568404990
73.62,1341568410769
73.62,1341568416552
73.62,1341568422335
73.62,1341568428119
73.74,1341568433902
73.74,1341568439686
73.74,1341568445465
73.85,1341568451248
73.85,1341568457031
73.85,1341568462815
73.74,1341568468598
73.74,1341568474381
73.74,1341568480161
73.74,1341568485944
73.74,1341568491727
73.74,1341568497511
73.74,1341568503294
73.74,1341568509077
73.74,1341568514856
73.74,1341568520640
73.74,1341568526423
73.74,1341568532206
73.74,1341568537990
73.74,1341568543773
73.74,1341568549552
73.74,1341568555336
73.74,1341568561119
73.74,1341568566902
73.74,1341568572685
73.74,1341568578465
73.74,1341568584248
73.74,1341568590031
73.74,1341568595815
73.74,1341568601598
73.74,1341568607381
73.74,1341568613160
73.74,1341568618944
73.74,1341568624727
73.74,1341568630510
73.74,1341568636294
73.74,1341568642077
73.74,1341568647856
73.74,1341568653640
73.74,1341568659423
73.74,1341568665206
73.74,1341568670990
73.74,1341568676773
73.74,1341568682552
73.74,1341568688335
73.74,1341568694119
73.74,1341568699902
73.62,1341568705685
73.62,1341568711469
73.62,1341568717248
73.62,1341568723031
73.62,1341568728814
73.62,1341568734598
73.62,1341568740381
73.51,1341568746165
73.51,1341568751944
73.51,1341568757727
73.51,1341568763510
73.51,1341568769294
73.40,1341568775077
73.40,1341568780860
73.40,1341568786639
73.40,1341568792423
73.40,1341568798206
73.40,1341568803990
73.40,1341568809773
73.40,1341568815552
73.40,1341568821335
73.40,1341568827119
73.51,1341568832902
73.51,1341568838685
73.51,1341568844469
73.62,1341568850248
73.51,1341568856031
73.62,1341568861815
73.62,1341568867598
73.62,1341568873381
73.62,1341568879164
73.62,1341568884944
73.74,1341568890727
73.74,1341568896510
73.74,1341568902294
73.74,1341568908077
73.74,1341568913860
73.74,1341568919639
73.85,1341568925423
73.74,1341568931206
73.85,1341568936989
73.85,1341568942773
73.74,1341568948556
73.74,1341568954335
73.74,1341568960119
73.85,1341568965902
73.85,1341568971685
73.74,1341568977469
73.85,1341568983252
73.74,1341568989031
73.85,1341568994814
73.85,1341569000598
73.85,1341569006381
73.85,1341569012164
73.85,1341569017943
73.74,1341569023727
73.85,1341569029510
73.85,1341569035294
73.85,1341569041077
73.85,1341569046860
73.85,1341569052639
73.85,1341569058423
73.85,1341569064206
73.85,1341569069989
73.85,1341569075773
